#,vivalarevolution,혁명 만세,"축하하오. 동지! 혁명은 성공했고 남녀노소가 평등한 사회에 살게 되었소. 사회주의 낙원의 건설이 불가능하다고 말들 했지만, 우린 보란 듯이 함께 해냈소! 세계의 노동자들이여 단결하라!"
#,cultofpersonality,인격의 숭배,"인격이라는 말의 뜻을 사전에서 찾아본다면, 바로 당신의 모습을 발견할 수 있을 것입니다! 강하고, 자비롭고, 믿음직스러운 지도자인 당신을 향한 사람들의 존경은 절대적입니다!"
#,coalitionkid,연정의 귀재,"절대 권력은 절대적으로 부패할 수 있다지만, 연립 정부를 이끄는 것보다는 훨씬 쉬운 길일 겁니다. 그런데도 당신은 두 개의 정당 연립을 이끌고 있습니다. 팀워크에 관해서라면 누구에게든 한 수 가르칠 수 있는 실력자죠."
#,livinginthefuture,미래에 산다,"고속 인터넷, 첨단 기술, 번듯한 우주 프로그램(화성 탐사 계획 등), 무인 자동차. 공상 과학 소설일까요? 아닙니다!  당신이 확실히 성취한 업적입니다. 놀랍죠."
#,taxahontas,세금왕,"움직인다면 무엇이 됐든 세금을 매겨라! 그것이 최근 당신의 신념인 듯 하군요. 세제를 복잡하게 만들면 무슨 상을 받기라도 하는 건가요? 그렇다면, 축하합니다! 당신이 최고상의 영예를 얻었으니까요."
#,everybodyout,전원 작업 중지!,"이 나라에서 실제로 일을 하는 사람이 있나요? 요즘 길모퉁이마다 파업 노동자들이 플래카드를 들고 있는 듯한데, 아이러니하게도 플래카드 만드는 사람들은 야근하고 있겠군요."
#,dangerousstreets,위험한 거리,"외출하시나요? 무장 경호원을 대동하고 장갑차를 타시는 걸 잊지 마세요. 밖은 매우 위험하니까요. 거리가 피로 물들진 않았지만, 여기저기 피가 스며있긴 합니다."
#,heirtoaynrand,아인 랜드의 후예,자본주의는 진리다! 자본주의는 자유다! 자본주의는 사랑이다! 에? 그건 좀... 한 가지 확실한 건 당신이 시장의 보이지 않는 손을 반갑게 맞잡았다는 점이죠. 그것도 허겁지겁 두 손으로요.
#,ecotopia,친환경 유토피아,요즘은 뭐든 탄소 중립에다 재활용되고 100% 유기농 대마로 만들어지는 것 같네요. 환경 운동의 진정한 영웅이 되셨습니다. 재활용 플라스틱으로 만든 멋진 녹색 동상을 기대하세요.
#,wrappedintheflag,국기를 휘날리며,"당신만큼 우리 국기를 사랑하는 사람이 또 있을까요? 어림없죠. 이제 우리나라의 50%가 깃발로 몸을 감싸고 있거나, 깃발의 그림자 아래 있거나 깃발로 만들어진 듯하니까요. 이 위대한 국가의 국민임에 자랑스러움이 벅차오르네요!"
#,bulletproofpolitics,방탄 정치,혹시 변장한 슈퍼 히어로가 아니세요? 아니면 소문에 들리듯 방탄 속옷이라도 입고 계신 건가요? 어찌 됐든 암살자의 총알이 아직도 목표를 달성하지 못했다니 놀랍습니다.
#,intergalacticsocialism,은하계 사회주의,카를 마르크스가 오늘 살아 있었다면 사회주의에 대한 당신의 공헌뿐만 아니라 사회주의를 우주에 전파하려는 당신의 계획을 찬양했을 테지요! 달과 화성에 건설될 첫 번째 사회주의 공화국을 고대합니다!
#,academicparadise,학문의 낙원,"고도로 교육된 인구를 이루기 위한 당신의 엄청난 노력을 요즘 사람들은 '테크노크라시' 같은 용어로 설명합니다. 이는 진정으로 칭찬할 만하고, 언급할 만하고, 신용할 만하고, 그 외 다른 유식한 단어로 표현할 만한 노력이 아닐 수 없을 겁니다."
#,ignoranceisbliss,무지는 행복이다,"교육받은 노동력 없이는 현대 사회가 제대로 작동할 수 없다고 주장들 하지만, 당신은 그런 비평가들이 틀렸음을 증명함으로써 다시 한 번 충격을 주었습니다. 우리나라는 지역에서 가장 높은 수준의 문맹률과 무지를 자랑합니다. 우리나라 만세!"
#,fooddrugsalcohol,"음식! 마약! 알코올!
","요즘 우리 국민들은 술, 담배, 마약, 도넛 등 좋은 것들을 조금씩 즐기며 살아가는 듯 합니다. 가볍게 코카인을 뿌린 위스키 도넛에 튀김옷을 입히고 튀기면 어떤 맛일까? 냠냠"
#,apocalypsenow,말세가 다가온다,더는 블록버스터 재난 영화에 돈을 낭비할 필요가 없다는 점이 확실히 인상적이군요. TV 뉴스를 켜기만 하면 엄청난 재난과 사건 사고가 끝없이 이어지는 것을 목격할 수 있으니까요. 팝콘을 사두세요
#,festivaloffirearms,총기 축제,"총을 절대적으로 사랑하지 않는 사람은 믿을 수 없는 사람입니다. 이제 우리나라는 개, 고양이, 사람, 새를 합친 것보다 더 많은 총기를 보유하고 있습니다. 마침내 해냈어요. 우리는 총기 분야에서 1위입니다. 파이팅!"
#,theallseeingstate,모든 것을 보는 국가,국가의 시선을 두려워하는 사람은 분명히 뭔가 숨길 것이 있는 사람이므로 국가가 모든 이를 항상 감시할 수 있다는 건 오히려 반가운 일이 아닐까요? 꺼림칙하게 생각할 것 없어요. 정부가 어련히 다 알아서 하는 일이니까요.
#,squeezetherich,부자를 쥐어짜라,"부자들은 정치인들이 포옹하러 다가오는 걸 별로 달갑게 여기지 않겠지만, 우린 때때로 부자들에게 묵직한 압박감을 주는 것을 즐기죠. 쥐어 짜낼 때마다 돈이 좀 흘러나오니까요. 그야말로 돈 안 드는 취미인 것 같아요. 야호.."
#,subsidysam,보조금 만능주의,정부 보조금만 있으면 원하는 것은 무엇이든 할 수가 있어. 애국가를 이렇게 새로 써야 할 때가 온 듯하네요. 애국가 작사도 보조금으로 해결하면 안 될까요? 이 업적 설명도 보조금을 줘서 쓰게 하면 어떨까요? 꽤 그럴듯한 아이디어인데...
#,infrastructureaddict,인프라 중독자,"미래에의 투자가 답이다!  위대한 사람은 자신이 아니라 후대가 앉아 쉴 그늘을 만들고자 나무를 심는다는 말이 있죠. 자기 세대가 이 거대 인프라 건설 프로젝트의 덕을 볼 일은 없을 테지만, 결국 옳은 일을 하는 겁니다."
#,nosaladleftbehind,채식에 올인,"먹는 것으로 그 사회를 판단할 수 있다던데, 그렇다면 녹색, 건강, 유기농, 각종 비타민 함유량, 그리고 매우 짧은 푸드 마일리지를 자랑스럽게 라벨에 표기한 우리 사회를 봐주세요. 그런데 솔직히 먹는 데 올인하는 국가라는 건 좀..."
#,workerswonderland,노동자의 천국,"우리나라에서 평직원으로 살아가는 게 이토록 멋진데 어떤 바보가 진급하는 데 시간을 낭비할까요? 짧은 근로 시간, 높은 임금, 매우 만족스러운 근무 관행이 있는 이곳이 바로 근로자의 천국일 겁니다!"
#,topmarx,마르크스가 짱,"카를 마르크스가 오늘날 살아 있었다면 바로 이 나라에 시민권을 신청했겠죠! 우리는 지구상에 사회주의 낙원을 건설했습니다. 주로 자본주의 색채가 좀 짙은 것은 무엇이든 금지함으로써 말이죠. 각자의 필요에 따라, 각자의 능력에 따라."
#,startyourengines,엔진 가동,"우리는 뭘 원하나? 자동차! 언제 원하나? 지금 당장! 우린 자동차를 좀 광적으로 좋아하는 것 같지만, 자동차를 좋아하지 않은 사람이 세상에 어디 있겠어요? 이 나라에서 도로, 차고, 자동차 쇼룸이 들어서지 않은 곳을 찾는 건 기적과도 같은 일일 겁니다."
#,anythinggoes,무얼 하든 자유,"우리나라는 누구든 좋아하는 것은 무엇이든 할 수 있는 서부 개척지라는 명성을 얻었습니다. 도박, 마약, 권총, 매춘, 동성애에 대한 우리의 느긋한 태도는 이제 세계적으로 유명합니다."
#,praisethelord,주님을 찬양하라,"주님을 찬양하라! 우리나라는 진정 신심으로 대동단결했습니다. 더 중요한 것은 말도 안 되는 진화론 따위를 가르치지도 않고, 학교에서도 신앙의 가르침을 지켜간다는 것입니다! 아멘."
#,siliconparadise,실리콘 파라다이스,이 문장을 로봇이 작성한 게 아니라고 100% 확신할 수 있나요? 누가 알겠어요? 찐따들과 로봇을 위한 이 테크노토피아에서는 무엇이든 가능합니다. 윙윙거리는 기계음과 마우스 클릭 소리와 함께 찾아온 새 시대. 흥분해서 두뇌 회로가 녹아버리지 않게 조심하세요!
#,successfulliar,성공한 거짓말쟁이,"카메라를 향해 미소를 짓고, 비장하고 감성 어린 표정으로 성명을 발표하고, 대중에게 한 약속을 모조리 어기고서도 선거에서 승리하는 당신은 진정한 능력자입니다. 축하합니다"
#,strongarmofthelaw,법치강국,"국민 여러분, 두려워 마십시오! 거리는 안전하며, 국가가 당신을 보호할 것입니다. 당신은 지구상에서 가장 철저히 법을 준수하고 집행하는 국가 중 하나에 살고 있으며, 길모퉁이마다 경찰차, 싸이카, 드론, 경찰관이 배치되어 있습니다!"
#,secretstate,비밀 정부,"예. 압니다. 우리나라 정부는 매우 비밀스럽고, 모두를 감시하고 있으며, 의심스러운 법 집행 수단을 쓴다는 소문이 있다는 걸. 하지만 그건 모두 뜬 소문입니다. 국민 여러분께서는 뜬 소문 따위에 귀를 기울이지 마십시오. 신상에 좋은 일이 없을 겁니다..."
#,healthyliving,건강한 삶,안녕! 건강하신가요? 저도 건강합니다! 사는 게 신나지 않나요? 요즘 우리 모두가 건강한 생활 양식을 따르고 있기 때문인 것 같아요. 국민의 건강에 과도하게 집착하는 정부 덕분이기도 하겠죠.
#,gravediggingboom,무덤 장사 성수기,"어이, 젊은이. 요즘 돈을 벌고 싶다면 내가 딱 한 마디 조언해 주지: 무덤 장사가 꿀이야. 땅에 구멍을 파 팔아먹는 장사가 대호황이라니까. 주변 사방에서 총성이 들리지? 저게 다 돈 쏟아지는 소리야.  "
#,spotlightjunkie,스포트라이트 중독자,"각하. 각종 언론매체에 꾸준히 등장하시느라 바쁘신 건 알지만, 이번 주에는 실제로 국가 운영을 좀 하셔야 할 것 같습니다. 물론 매우 따분하고 하잘것없는 일이긴 하지만, 국가 운영도 업무의 일부인 걸 어쩌겠어요?"
#,childrenareourfuture,아이들은 우리 미래,솔직히 말해서 우린 우리가 사는 세상을 완전히 망쳐놓았습니다. 하지만 우린 다음 세대를 위해 그렇게 하고 있다는 핑계를 대고 있죠! 과연 다음 세대는 우리가 자신들을 위해 희생한 것에 대해 감사할까요? 스포일러: 아니요.
#,ruraltranquility,평온한 전원 생활,"아... 새들의 지저귐, 산들바람에 부드럽게 흔들리는 나뭇잎 소리... 우리나라의 도시는 지옥 그 자체일지 몰라도, 당신 덕분에 우리나라의 시골은 살기 좋은 멋진 곳이란 건 모두가 동의합니다!"
#,unitednations,국제 연합,"요즘 뉴스에는 서로 등을 토닥이고, 손뼉을 치고, 악수를 주고받는 외교관들의 모습이 홍수를 이루고 있군요. 우리나라는 국제 협정의 중심에 있으며, 어느 나라에도 뒤지지 않는 명성을 가지고 있습니다."
#,shufflemeister,갈아치우기 달인,"언제쯤 결정을 내리실래요? 솔직히 말해, 이렇게나 자주 책임자를 갈아치울 예정이시라면 아예 모든 장관 사무실에 회전문을 장착하는 것이 좋겠네요."
#,lonelyatthetop,고독한 권좌,"한 명의 장관을 잃는 것도 불행한 일인데, 한 사람의 정치 경력 중에 이렇게 많은 사람을 잃는다는 건 정말 놀라움과 연민을 넘어서 무슨 게임 속 업적 설명에나 쓰일만한 일인 것 같네요."
#,marginoferror,허용 오차,와. 당신은 선거 날 계표 중계 TV에 짜릿한 쇼를 선사하는 걸 정말로 즐기는 것 같군요. 이렇게 막상막하인 선거를 지켜보며 심장이 온전할 정치 평론가들은 드물 거예요!
