token,name,title,text
,,,
***Misc,,,
#,Welcome,환영합니다!,"데모크라시 4에 오신 것을 환영합니다! 이제 막 <PRESIDENT>으로서 첫 임기를 시작하셨고, 저는 비서실장으로서 업무가 어떻게 돌아가는지 설명해 드리려고 합니다. 아래 아이콘은 우리나라의 상태를 보여주는 몇 가지 주요 지표입니다. 상황을 개선하고, 임기를 마치신 후 재선에 성공하시기를 바랍니다! 아래 창의 버튼(""임기 시작"" 표시)을 눌러 관리를 시작하십시오..."
#,MainScreen,메인 화면,"여기에서 우리나라의 현황을 살펴볼 수 있습니다. 복잡해 보일 수 있지만, 모든 다른 구성 요소들도 매우 유사한 방식으로 작동합니다. 아이콘은 정책, 법률, 유권자 그룹, 국민 보건 및 교육 수준과 등 중요한 개념에 대한 값을 포함한 경제나 사회의 다양한 객체를 나타냅니다. 다음 버튼을 클릭하세요."
#,VoterStrips,유권자,"화면 왼쪽에 있는 이 줄은 유권자 그룹을 나타내며 색칠된 진행 현황 표시줄은 유권자가 정부에 얼마나 만족하는지 보여줍니다. 텍스트 뒤의 옅은 색 부분은 이러한 각 그룹에 속한 우리 유권자의 비율을 나타냅니다. 데모크라시 4의 핵심 개념 중 하나로, 유권자 개개인은 여러 다른 유권자 그룹에 동시에 속할 수 있으며, 이러한 그룹에 동조하는 정도도 개인마다 다릅니다. 상반되는 그룹들이 있기에 이러한 유권자 그룹 *모두*가 당신을 지지하게 되는 일은 없습니다!"
#,PolicyIcons,정책,"흰색 아이콘은 정책입니다. 몇몇 정책이 이미 구현된 상태에서 게임이 시작되지만, 대부분은 취소할 수 있고 더 많은 정책을 추가할 수 있습니다. 또한, 정책을 조정할 수도 있습니다. 정책은 당신이 국가를 통치하는 데 사용하는 기본 수단입니다."
#,SimIcons,데이터,"파란색 아이콘은 해당 국가와 관련된 통계 데이터를 나타냅니다. GDP(국내총생산 - 경제력), 범죄 또는 국민의 교육 수준과 같은 추상적인 개념과 관련이 있습니다. 당신은 정책 결정을 통해 통계 데이터에 간접적으로만 영향을 줄 수 있습니다. 다른 아이콘과 마찬가지로 해당 아이콘이 나타내는 경제/사회 부분(교통, 세금 등...)에 따라 화면의 다른 '영역'에서 찾을 수 있습니다."
#,SitIcons,상황,빨강 또는 초록 배경의 아이콘은 상황입니다. 이는 좋거나(초록)  나쁠(빨강) 수 있는 당신의 국가에서 진행 중인 사건들입니다. 정책 선택에 따라 좋은 상황을 장려하고 나쁜 상황을 예방하거나 수정할 수 있습니다.
#,Connections,연관성,"정책, 데이터 및 상황은 '효과'를 통해 상호 연결됩니다. 아이콘 하나 위에 마우스를 가져가면 긍정적인 효과는 초록으로, 부정적인 효과는 빨강으로 표시되어 영향력이 아이콘 사이에 어떻게 흐르는지 보여줍니다. 흐름의 속도는 효과의 강도를 보여줍니다. 이를 시험해 보시고 '다음'을 누르십시오."
#,VoterType,유권자!,특정 유권자 그룹을 살펴보고 이에 대해 자세히 알아보겠습니다. '중위소득' 유권자에 관한 유권자 정보줄을 클릭하십시오.
#,VoterType2,유권자 유형,"이 창에는 특정 유권자 그룹에 대한 자세한 정보가 표시됩니다. 각 유권자 그룹은 고유한 의견과 우선순위를 지니며 모든 사건이나 정책은 각 그룹에 다르게 영향을 미칩니다. 차트는 현재 시간 경과에 따른 유권자의 의견을 표시하지만, 시간 경과에 따른 소득 또는 그룹 구성원을 표시하도록 선택할 수도 있습니다."
#,VoterType3,입력,"이 영역은 이 유권자 그룹에 대한 다양한 '입력'의 목록과 이것들이 그룹 구성원들에게 어떤 느낌을 갖게 하는지를 보여줍니다. 초록 효과는 좋고 긍정적이고 빨강 효과는 나쁘고 부정적입니다. 이러한 효과는 정책, 상황, 값이 변경됨에 따라 시간이 지남에 따라 변경될 수 있습니다. 이 모든 효과의 합은 그룹의 느낌을 결정하는 데 사용됩니다."
#,VoterType4,드릴다운,개별 효과를 바로 가기로 삼아 클릭하면 해당 항목에 대한 자세한 정보를 볼 수 있습니다. 예를 들어 소득세가 중산층 유권자에게 미치는 영향을 보여주는 효과를 클릭해 보십시오.
#,IncomeTax1,소득세,소득세 세부정보 화면이 뜹니다! 두 항목 사이의 거의 모든 효과에 대해 이렇게 할 수 있습니다. 소득세는 정책(흰색 아이콘)이며 이 화면은 정책이 미치는 영향을 보여줍니다.
#,PolicySlider,정책 슬라이더,"이 슬라이더는 이 특정 정책을 제어하는 데 사용됩니다. 슬라이더를 사용해 소득세를 위아래로 조정할 수 있으며, 이렇게 하면 유권자 그룹, 상황, 통계 데이터 등 연관된 모든 항목에 미치는 영향이 바뀝니다. 슬라이더를 시험 삼아 조정해보고 '다음'을 누르십시오."
#,PolicySlider2,정책 슬라이더,슬라이더를 움직일 때 효과에 두 가지 다른 값이 표시되는 것을 눈치채셨을 것입니다. 현재의 (어두운) 효과와 슬라이더가 새 위치에 놓일 때의 효과입니다. 값은 각 효과의 맨 오른쪽에 있는 관성 시간(턴 수)에 기반해 시간이 지남에 따라 원래 위치에서 새 위치로 이동합니다. 해당 값이 0이면 효과는 다음 턴이 시작될 때까지 새로운 수치에 다다릅니다.
#,RevertChanges,변경 사항 되돌리기,"일단은 그대로 놔둡시다. 슬라이더를 조정했지만, 이 정책을 원래대로 두려면 '변경 사항 되돌리기' 버튼을 누르십시오."
#,QuitPolicy,정책 화면 나가기,"잘하셨습니다, 소득세는 충분히 봤으니 우측 상단의 닫기 버튼을 누르고 메인 화면으로 돌아가 보겠습니다."
#,Situations,상황,현재 우리나라에 영향을 미치는 상황 중 하나를 확인할 시간입니다. 자세한 정보를 보기 원하는 상황 아이콘을 클릭하십시오.
#,Situations2,상황,선택한 상황에 관한 정보를 보여줍니다. 보시다시피 상황에는 원인(왼쪽)과 결과가 있습니다. 여기서는 아무것도 변경할 수 없으며 그저 다양한 효과를 볼 수 있을 뿐입니다. 원인의 강도를 충분히 줄이면 상황을 종료시킬 수 있습니다.
#,Situations3,트리거와 그래프,이 화면 상단의 차트는 시간 경과에 따른 이 상황의 실제 강도와 두 가지 트리거에 관한 정보를 보여줍니다. 위쪽 트리거는 실제로 이 상황을 촉발시키는 값입니다. 아래쪽 트리거는 상황을 비활성화하는 값입니다. 결과적으로 상황을 촉발시키는 것이 상황을 끝내기보다 더 쉽습니다.
#,Situations4,상황,이제 이 상황을 끝내고 다른 데이터를 살펴보겠습니다. 닫기 버튼을 누르십시오.
#,Simvalue,통계,마지막 아이콘 유형인 통계 데이터를 살펴보겠습니다. 파란색 아이콘 중 하나를 클릭합니다.
#,Simvalue2,통계,이 화면은 국가 통계에 관한 정보를 보여줍니다. 상황과 마찬가지로 원인과 결과가 있습니다. 일부 통계값은 우리가 높이고 싶어하는 좋은 것(예: 보건)이고 다른 통계 값은 낮추고 싶은 나쁜 것(예: 범죄)입니다.
#,Simvalue3,통계,여기서 변경할 수 있는 것은 없으므로 닫기 버튼을 누르고 다시 메인 화면으로 돌아갑시다.
#,PoliticalCapital,정치 자본,"중앙 아이콘에서 이 값에 주의하십시오. 이것은 '정치 자본'으로, 정부가 일을 수행하기 위해 필요한 지지의 양을 나타냅니다. 턴당 제한된 양의 정치적 자본이 있습니다(각 턴은 1년의 4분의 1). 자본이 다 떨어지고 나서 더 많은 자본을 얻으려면 턴을 종료해야 합니다. 일부 정치 자본은 다음 턴으로 이월될 수 있지만, 전부는 아닙니다. 자세한 내용은 아이콘을 클릭하세요."
#,PoliticalCapital2,정치 자본,"정책을 조정하거나 취소하거나 새로운 정책을 구현할 때 정치 자본이 사용됩니다. 정책마다 요구되는 금액은 해당 정책이 논란인 정도에 따라 다릅니다. 자본은 장관들, 당신의 인기, 그리고 당신이 이전 선거에서 얼마나 극적으로 이겼는지 따라 생성됩니다."
#,PoliticalCapital3,정치 자본,메인 화면으로 돌아갑시다. 일단은 정치 자본 창을 닫으십시오.
#,NewPolicy1,새 정책,이제 새 정책을 만드는 방법을 살펴보겠습니다. 새 정책 버튼을 클릭합니다.
#,NewPolicy2,새 정책,이는 당신이 선택할 수 있도록 고문이 준비해 놓은 새 정책들입니다. 정책은 왼쪽에 탭에서 볼 수 있는 범주들로 나뉩니다. 선택한 정책의 세부 정보는 오른쪽에 있습니다. 빨간색으로 표시된 것은 현재 정치적 자본이 부족하여 구현할 수 없는 정책입니다. 정책을 선택한 다음 구현 버튼을 누르십시오.
#,NewPolicy3,새 정책,이것은 구현하기로 선택한 새 정책입니다. 새 정책에 대해 슬라이더를 무료로 조정할 수 있습니다(정치 자본을 소비하지 않음). 일부 정책은 구현하는 데 시간이 걸리므로 완전히 작용하려면 시간이 걸립니다. 일단 메인 화면으로 돌아갑시다. 오른쪽 상단의 닫기 버튼을 눌러주세요.
#,NextTurn,다음 턴,"볼 것이 훨씬 더 많지만, 나중에 다루도록 하겠습니다. 할 수 있는 일들, 하고 싶은 일들을 마쳤으면 턴을 마칩니다. 화면 오른쪽 상단의 턴 종료 버튼을 누릅니다."
,,,
