,name,guiname,plural,desc
#,Socialist,사회주의자,사회주의자들,"사회주의자들은 자유시장에서 발생할 수 있는 불평등을 바로잡기 위해 부자의 재산을 가난한 사람들에게 재분배하는 것이 옳다고 믿습니다. 세금을 많이 걷어 큰 정부를 운영하면 모두에게 의료, 교육, 주택, 대중 교통 등 필수 서비스를 제공할 수 있습니다. 근본적으로 사회주의자들은 '각자의 필요에 따라, 각자의 능력에 따라'라는 격언을 믿습니다."
#,Capitalist,자본주의자,자본주의자들,"자본주의자들은 자유시장의 '보이지 않는 손'이 자원을 분배하는 가장 효율적이고 공정한 방법이라고 믿는 사람들입니다. 기본 원칙은 사람들이 자기 노동의 가치만큼 이익을 얻는 것이 당연하며, 국가는 민간 기업에 간섭하지 말아야 한다는 것입니다. 국영 무상 의료 제도와 같은 정부의 시장 개입은 사실상 근면한 사람의 수익을 갈취해 기여한 가치가 없는 사람에게 건네주는 시장 왜곡으로 여겨집니다."
#,Retired,은퇴자,은퇴한 사람들,"은퇴한 사람들과 여전히 일하고 있는 은퇴 적령 노인들은 강력한 정치세력입니다. 선거 투표율이 더 높은 경향이 있으며, 정치 캠페인에 적극 참여할 시간 여유가 있습니다. 당연히 일반 시민보다 의료 정책에 관해 더 우려하고 있으며, 많은 경우에 자신들의 유일한 소득원인 연금 제도의 변화에 민감합니다."
#,Commuter,통근자,통근자들,"통근자층은 일터를 오가기 위해 자동차, 기차, 버스, 모노레일이나 트램을 이용해 적정 거리를 여행하는 사람들입니다. 통근자에게 교통비와 교통 혼잡은 정치적 이슈입니다. 교통체증에 시달리거나 파업으로 인해 출근할 수 없게 된 통근자들은 정치인들을 원망할 것이며, 그 원망을 표출할 충분한 시간도 갖게 될 것입니다."
#,Patriot,애국주의자,애국주의자들,"냉소적인 사람들은 애국심을 선거 기간에 북돋워지는 정치 선동 요소쯤으로 생각하지만, 일부 유권자에게 애국심은 국가 정체성의 핵심입니다. 애국주의자들은 뚜렷한 국가 정체성, 강력한 국방, 강력한 국경을 강하게 지지하는 사람들입니다."
#,Motorist,운전자,운전자들,"유권자가 자신을 운전자로 자각하는 정도는 열혈 자동차 애호가에서 작은 '도시형 경차'를 가끔 사용하는 사람에 이르기까지 다양할 수 있습니다. 그러나 운전하는 모든 사람은 자동차 세금, 도로 가격, 유류세, 혼잡 여부 및 연료 종류에 관한 인센티브나 보조금의 영향을 받습니다. 이 때문에 운전자는 선거 시기에 중요한 그룹이 될 수 있습니다."
#,Liberal,자유주의자,자유주의자들,"정의하기 복잡한 그룹입니다. 일부 국가에서는 자유주의가 사회주의와 혼동되지만, 자유주의는 원래 개인의 자유에 대한 신념이며, 이는 다른 여러 유권자 그룹과 겹치는 특징입니다. 자유주의자들은 국가의 감시에 강력히 반대하며, 성생활에서부터 총기 소유, 오락성 약물 사용에 이르기까지의 다양한 이슈에서 개인의 선택이 존중되어야 한다는 원칙을 지지합니다."
#,Religious,종교인,종교인들,"종교적인 가치관과 신앙심의 강도는 사람마다 다르겠지만, 일반적으로 종교인 유권자들은 종교 학교와 종교 교육에 관해 긍정적인 견해를 가지고 있으며, 안식일을 신성하게 유지하는 법이나 신성 모독으로부터 교회를 보호하는 법을 지지할 것입니다. 원칙적으로, 종교인 유권자는 낙태와 줄기세포 연구에 관해 부정적인 견해를 가지고 있습니다. 일반적으로, 종교적인 가치관은 선진국이 아닌 나라에서 더 인기가 있습니다."
#,TradeUnionist,노동조합원,노동조합원들,"노동조합원들은 거대 기업에 고용된 근로자의 권리를 강하게 우려하고 있으며, 더 높은 임금, 더 짧은 근로 시간, 직장에서의 더 많은 권리를 위해 싸웁니다. 노동조합 가입 인구의 증가는 노동쟁의(파업)에 대한 더 큰 지지로 이어질 수 있습니다. 저임금, 높은 실업률, 복지 부족은 노동자들이 노조에 가입하도록 장려하는 요인이 될 수 있습니다."
#,SelfEmployed,자영업자,자영업자들,"자영업자는 배관공, 전기 기술자와 같이 중소기업을 운영하는 사람들도 포함됩니다. 기업가와 중소기업 소유자는 자기들에게 관료적인 비용의 부담을 지우는 너무 많은 국가 규제와 노동자 권리에 반대합니다. 이들은 또한 자기 사업의 판매 또는 자본 수익에 붙는 세금의 영향을 피부로 느낍니다."
#,Environmentalist,환경주의자,환경주의자들,"환경주의자들은 정치 스펙트럼에서 다른 유권자 부류와 일치하는 점도 있을 수 있지만, 오염, 기후 변화, 동물의 권리에 관한 우려를 공유한다는 것이 특징입니다. 이러한 문제를 다루는 광범위한 정책들이 있지만, 환경주의자들은 그런 방법론보다는 결과에 더 관심이 있습니다. 오염과 악천후 사건은 더 많은 국민을 환경주의자 그룹에 가입하게 합니다."
#,Wealthy,부유층,부자들,"개인적인 노력으로 얻은 재산이든 상속을 통해 얻은 재산이든 상관없이 이 그룹은 소득세, 상속세, 사치성 지출에 대한 세금 등 잃을 수 있는 부가 가장 큰 유권자층입니다. 부유층은 다른 사회 계층보다 더 이동성이 높은 탓에 효과적으로 세금을 거두기가 어렵습니다. 또한, 중위소득층은 부유하게 되기를 열망하며, 보통 과세당하는 것을 좋아하지 않는다는 것도 기억하십시오."
#,Poor,빈곤층,가난한 사람들,"경제적으로 불리한 사회 계층은 당연히 국가의 복지 지출에 더 의존하고, 불평등과 상위 1%의 부를 나머지 인구에 재분배하는 정책에 깊은 관심을 두고 있습니다. 임금 수준에 따라 이 그룹에는 실업자가 많거나 적게 포함되었을 수 있습니다."
#,MiddleIncome,중산층,중위소득계층,"전통적으로 인구의 큰 부분을 차지하지만, 불평등이 증가하면 축소될 수 있습니다. 중산층은 일반적으로 정치적으로 온건하고, 직업을 가지고 있으며, 자동차 소유자로 매년 휴가를 즐기며, 자기 집을 사서 완전히 소유하고 싶어합니다. 중산층은 사회 소요나 범죄로 잃고 싶지 않은 재산과 생업을 가지고 있으며 이는 종종 중도주의적 견해로 이어집니다."
#,Parents,부모,부모들,"유권자가 자신을 부모로 자각하는 정도는 자녀가 몇 명인지, 그리고 얼마나 어린 자녀를 두고 있는지에 따라 다릅니다. 여러 자녀를 둔 젊은 가정은 보육 제도나 어린이집 가격, 교육의 비용과 품질과 같은 이슈에 매우 민감할 것입니다. 학교 안전과 통학도 큰 이슈입니다."
#,Farmers,농민,농민들,"농부뿐만 아니라 관련 산업과 농촌 지역사회의 사람들입니다. 농촌 유권자의 우선순위는 대게 수도에 거주하는 사람들과는 다르며, 농업에 적용되는 세금(또는 좀 더 일반적으로는...정부의 농업 보조금)이 큰 이슈일 것입니다. 식품 생산을 과도하게 규제하는 정책 경향은 이 그룹에 인기가 없을 것입니다."
#,StateEmployees,공무원,공무원들,"국영 기업이나 공공 기관에서 일하는 사람은 본인이 강하게 자각하든 자각하지 않든 이 그룹에 속합니다. 여기에는 공공 보건과 교육 근로자뿐만 아니라 종종 경찰, 군인, 지자체 직원이 포함됩니다. 공공 지출은 이들의 임금과 취업 전망에 직접 영향을 끼치므로 이들보다 정부 지출 삭감을 더 신경 쓰는 사람들은 없습니다."
#,Conservatives,보수주의자,보수주의자들,"자유주의자 혹은 진보주의자들과 상반되는 가치관을 지닌 보수주의자들은 일반적으로 '가족'이나 '전통' 가치로 여겨지는 것들을 크게 지지합니다. 이 그룹은 마약의 합법화에 반대하고 성적 스캔들이나 나쁜 행실에 분노할 가능성이 큽니다. 보수주의자들은 정체성 정치, 동성 결혼, 불륜, 매춘 합법화를 좋아하지 않습니다."
#,Young,젊은층,젊은이들,"투표할 나이가 되었지만, 아직 본업이 학생이거나 최근에 졸업한 젊은 사람들을 말합니다. 당연히 젊은이들은 연금이나 은퇴 연령보다는 교육 이슈에 더 집중합니다. 이들 중 일부는 수업료로 인해 발생한 빚을 아직도 갚아나가고 있을 수 있습니다. 중년층보다 정치적으로 더 활발합니다."
#,EthnicMinorities,소수민족,소수민족,"일부 국가에서는 흑인이 소수이고, 다른 나라에서는 백인이 소수이며, 어떤 나라에서는 토착 원주민이 소수입니다. 소수민족은 분명히 사회의 인종차별을 매우 우려하고, 또한 차별로 보일 수 있는 이민 정책을 우려합니다. 해외에 친척들을 둔 탓에 외교 관계에 관해 강한 견해를 가졌을 수도 있습니다."
#,_All_,모두,사람들,"모든 유권자는 이 그룹에 속해 있으며, 연령, 직업, 재산과 관계없이 모든 이에게 동등하게 영향을 미치는 조치, 정책, 상황의 영향을 받습니다."
